                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1976,                 3.8247,                 1.2821,                0.00333,                      1,                0.41294,                0.21777,                0.95444,                 3.9804,                 1.1568,                0.00012,                0.00012,                0.00012
                      2,                 1.0412,                 2.8731,                 1.1011,                0.67423,                    0.6,                0.69193,                0.50396,                 1.1842,                 3.2948,                 1.2516,              0.0002497,              0.0002497,              0.0002497
                      3,                0.94815,                 2.1545,                 1.0627,                  0.003,                    0.9,                0.69135,                0.47216,                0.95666,                 3.2708,                  1.099,             0.00036832,             0.00036832,             0.00036832
                      4,                 0.9876,                 2.0672,                 1.0464,                0.00333,                      1,                0.66677,                0.42281,                 0.8789,                 3.5006,                0.99512,             0.00047585,             0.00047585,             0.00047585
                      5,                0.99875,                 2.3127,                 1.0397,                  0.003,                    0.9,                0.80469,                0.61071,                0.91821,                 3.5422,                 1.0363,             0.00057229,             0.00057229,             0.00057229
                      6,                0.88872,                 1.8737,                 1.0085,                      1,                0.30421,                0.71564,                0.48956,                 1.0609,                 3.3916,                  1.153,             0.00065764,             0.00065764,             0.00065764
                      7,                0.76619,                 1.4519,                0.96429,                      1,                0.35854,                0.56364,                0.39761,                 1.0045,                 3.3441,                 1.1078,              0.0007319,              0.0007319,              0.0007319
                      8,                0.79139,                 1.4267,                 1.0287,                      1,                0.45708,                0.66529,                0.50126,                0.92831,                 3.2428,                 1.1018,             0.00079508,             0.00079508,             0.00079508
                      9,                0.90047,                 1.5925,                 1.0436,                      1,                0.44334,                0.74107,                0.57365,                0.88596,                 3.2603,                 1.0903,             0.00084717,             0.00084717,             0.00084717
                     10,                0.93497,                 3.6028,                0.95596,                      1,                0.48975,                0.76897,                0.47283,                 0.9317,                  3.198,                 1.1171,             0.00088817,             0.00088817,             0.00088817
                     11,                0.97082,                 1.6598,                 1.0687,                0.88224,                0.75215,                0.78698,                0.46268,                  1.014,                 2.8584,                 1.1386,             0.00091808,             0.00091808,             0.00091808
                     12,                 1.0228,                 1.6057,                 1.1269,                      1,                0.69804,                0.82253,                0.50571,                 1.1194,                 2.6226,                 1.2675,              0.0009369,              0.0009369,              0.0009369
                     13,                0.92655,                 1.5439,                 1.0683,                0.87351,                0.69164,                0.79825,                0.50442,                 1.2198,                 2.6067,                 1.3718,             0.00094464,             0.00094464,             0.00094464
                     14,                0.98536,                 1.4875,                 1.0769,                0.87351,                0.69164,                0.79825,                0.50442,                 1.2198,                 2.6067,                 1.3718,             0.00094129,             0.00094129,             0.00094129
                     15,                0.99916,                 1.6233,                 1.1163,                0.72255,                0.78267,                0.77345,                0.47312,                 1.3171,                 2.6779,                 1.5711,              0.0008912,              0.0008912,              0.0008912
                     16,                0.87805,                 2.1781,                 1.0941,                0.47886,                 0.5535,                0.50323,                0.29252,                 1.2346,                 3.0301,                 1.5173,              0.0008912,              0.0008912,              0.0008912
                     17,                0.84162,                 1.9103,                 1.0245,                0.84606,                    0.6,                0.66719,                0.45487,                 1.3098,                 2.9147,                 1.5485,               0.000812,               0.000812,               0.000812
                     18,                0.82305,                 1.8967,                0.99272,                0.76662,                    0.7,                0.67034,                0.43695,                   1.22,                 2.6544,                 1.3776,              0.0007328,              0.0007328,              0.0007328
                     19,                0.81379,                 1.7012,                 1.0321,                0.95648,                    0.7,                0.84517,                0.54703,                 1.1091,                 2.4431,                 1.2478,              0.0006536,              0.0006536,              0.0006536
                     20,                 0.8323,                   1.78,                 1.0263,                0.98003,                    0.7,                0.83731,                0.56117,                 1.1241,                 2.5958,                 1.2411,              0.0005744,              0.0005744,              0.0005744
                     21,                0.88565,                 1.9597,                0.94853,                 0.9707,                    0.7,                0.85041,                0.59488,                 1.0787,                 2.7734,                 1.2282,              0.0004952,              0.0004952,              0.0004952
                     22,                0.84229,                 1.6516,                 1.0427,                 0.9707,                    0.7,                0.85041,                0.59488,                 1.0787,                 2.7734,                 1.2282,               0.000416,               0.000416,               0.000416
                     23,                0.73199,                 1.6323,                0.97793,                0.88771,                0.79151,                0.85352,                0.59831,                 1.0181,                  2.725,                 1.1971,              0.0003368,              0.0003368,              0.0003368
                     24,                0.75978,                 1.6453,                0.96633,                0.88807,                0.79414,                0.84856,                    0.6,                 0.9797,                 2.4544,                 1.1624,              0.0002576,              0.0002576,              0.0002576
                     25,                0.70994,                 1.4889,                0.96718,                0.87477,                    0.8,                0.85926,                0.61636,                0.96274,                 2.3011,                 1.1399,              0.0001784,              0.0001784,              0.0001784
